timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603604346054,4535,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,1988558,197988,50,50,null,0,2580,0
1603604346103,264,GET Registration Page,200,OK,Thread Group 50 1-4,text,true,,988,387,20,20,http://168.63.240.39/daftar/pemrograman,264,0,24
1603604346416,4271,POST User register,200,OK,Thread Group 50 1-4,text,true,,1987570,197601,50,50,http://168.63.240.39/login,1571,0,0
1603604346257,17070,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-13,,true,,3205754,372791,50,50,null,0,5,0
1603604346258,11470,GET Registration Page,200,OK,Thread Group 50 1-13,text,true,,3045642,173935,50,50,http://168.63.240.39/daftar/pemrograman,525,0,1
1603604357732,5600,POST User register,200,OK,Thread Group 50 1-13,text,true,,160112,198856,50,50,http://168.63.240.39/login,2251,0,6
1603604346354,17110,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-19,,true,,3205730,373012,50,50,null,0,5,0
1603604346355,11548,GET Registration Page,200,OK,Thread Group 50 1-19,text,true,,3045617,174039,50,50,http://168.63.240.39/daftar/pemrograman,646,0,2
1603604357907,5562,POST User register,200,OK,Thread Group 50 1-19,text,true,,160113,198973,50,50,http://168.63.240.39/login,2156,0,3
1603604346217,17464,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-12,,true,,3205729,372834,50,50,null,0,4,0
1603604346218,11898,GET Registration Page,200,OK,Thread Group 50 1-12,text,true,,3045615,173825,50,50,http://168.63.240.39/daftar/pemrograman,560,0,2
1603604358118,5566,POST User register,200,OK,Thread Group 50 1-12,text,true,,160114,199009,50,50,http://168.63.240.39/login,2200,0,3
1603604346416,17458,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-21,,true,,3205709,373055,50,50,null,0,5,0
1603604346418,11843,GET Registration Page,200,OK,Thread Group 50 1-21,text,true,,3045603,174139,50,50,http://168.63.240.39/daftar/pemrograman,649,0,2
1603604358263,5615,POST User register,200,OK,Thread Group 50 1-21,text,true,,160106,198916,50,50,http://168.63.240.39/login,2243,0,3
1603604346176,17832,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-9,,true,,3205695,372865,50,50,null,0,4,0
1603604346177,12123,GET Registration Page,200,OK,Thread Group 50 1-9,text,true,,3045591,174037,50,50,http://168.63.240.39/daftar/pemrograman,450,0,1
