timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603606338186,11824,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,2616421,66127,50,50,null,0,113,0
1603606338283,6976,POST ADMIN LOGIN,200,OK,Thread Group 50 1-4,text,true,,2340620,37938,50,50,http://168.63.240.39,619,0,31
1603606345275,4848,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-4,text,true,,275801,28189,50,50,http://168.63.240.39/admin/login,3347,0,0
1603606338209,11864,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-5,,true,,2616447,66005,50,50,null,0,79,0
1603606338286,7004,POST ADMIN LOGIN,200,OK,Thread Group 50 1-5,text,true,,2340650,37868,50,50,http://168.63.240.39,535,0,27
1603606345292,4860,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-5,text,true,,275797,28137,50,50,http://168.63.240.39/admin/login,3374,0,0
1603606338227,12003,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-6,,true,,2616437,66151,50,50,null,0,62,0
1603606338285,7729,POST ADMIN LOGIN,200,OK,Thread Group 50 1-6,text,true,,2340641,38010,50,50,http://168.63.240.39,763,0,28
1603606346016,4274,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-6,text,true,,275796,28141,50,50,http://168.63.240.39/admin/login,2814,0,0
1603606338307,12260,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-10,,true,,2616443,66011,50,50,null,0,4,0
1603606338309,8849,POST ADMIN LOGIN,200,OK,Thread Group 50 1-10,text,true,,2340652,38006,50,50,http://168.63.240.39,1149,0,5
1603606347160,3411,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-10,text,true,,275791,28005,50,50,http://168.63.240.39/admin/login,2008,0,0
1603606338169,12380,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-3,,true,,2616462,66417,50,50,null,0,119,0
1603606338286,9067,POST ADMIN LOGIN,200,OK,Thread Group 50 1-3,text,true,,2340662,38220,50,50,http://168.63.240.39,1234,0,27
1603606347354,3313,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-3,text,true,,275800,28197,50,50,http://168.63.240.39/admin/login,1856,0,0
1603606338249,12437,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-7,,true,,2616454,66177,50,50,null,0,36,0
1603606338284,9086,POST ADMIN LOGIN,200,OK,Thread Group 50 1-7,text,true,,2340661,38076,50,50,http://168.63.240.39,1313,0,33
1603606347371,3351,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-7,text,true,,275793,28101,50,50,http://168.63.240.39/admin/login,1851,0,0
1603606338287,12455,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-9,,true,,2616470,66417,50,50,null,0,5,0
1603606338289,9223,POST ADMIN LOGIN,200,OK,Thread Group 50 1-9,text,true,,2340668,38218,50,50,http://168.63.240.39,1503,0,29
1603606347515,3232,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-9,text,true,,275802,28199,50,50,http://168.63.240.39/admin/login,1784,0,0
1603606338267,12498,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-8,,true,,2616445,66083,50,50,null,0,22,0
1603606338283,9199,POST ADMIN LOGIN,200,OK,Thread Group 50 1-8,text,true,,2340660,38082,50,50,http://168.63.240.39,2015,0,31
1603606347487,3299,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-8,text,true,,275785,28001,50,50,http://168.63.240.39/admin/login,1785,0,0
1603606338146,12540,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-2,,true,,2616447,66101,50,50,null,0,139,0
1603606338283,9327,POST ADMIN LOGIN,200,OK,Thread Group 50 1-2,text,true,,2340658,38148,50,50,http://168.63.240.39,2121,0,31
1603606347611,3213,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-2,text,true,,275789,27953,50,50,http://168.63.240.39/admin/login,1705,0,0
1603606338129,12630,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-1,,true,,2616459,66253,50,50,null,0,159,0
1603606338283,9390,POST ADMIN LOGIN,200,OK,Thread Group 50 1-1,text,true,,2340658,38148,50,50,http://168.63.240.39,2239,0,30
1603606347677,3240,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-1,text,true,,275801,28105,50,50,http://168.63.240.39/admin/login,1687,0,0
1603606338327,12591,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-11,,true,,2616460,66087,50,50,null,0,3,0
1603606338328,9424,POST ADMIN LOGIN,200,OK,Thread Group 50 1-11,text,true,,2340655,37940,50,50,http://168.63.240.39,2234,0,2
1603606347753,3167,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-11,text,true,,275805,28147,50,50,http://168.63.240.39/admin/login,1677,0,0
1603606338348,12649,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-12,,true,,2616474,66211,50,50,null,0,4,0
1603606338349,9433,POST ADMIN LOGIN,200,OK,Thread Group 50 1-12,text,true,,2340677,38158,50,50,http://168.63.240.39,2305,0,2
1603606347784,3216,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-12,text,true,,275797,28053,50,50,http://168.63.240.39/admin/login,1694,0,0
1603606338406,12585,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-15,,true,,2616433,66327,50,50,null,0,20,0
1603606338407,9436,POST ADMIN LOGIN,200,OK,Thread Group 50 1-15,text,true,,2340635,38224,50,50,http://168.63.240.39,2959,0,2
1603606347862,3149,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-15,text,true,,275798,28103,50,50,http://168.63.240.39/admin/login,1651,0,0
1603606338367,12716,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-13,,true,,2616456,66231,50,50,null,0,2,0
1603606338368,9529,POST ADMIN LOGIN,200,OK,Thread Group 50 1-13,text,true,,2340651,38080,50,50,http://168.63.240.39,2869,0,2
1603606347898,3187,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-13,text,true,,275805,28151,50,50,http://168.63.240.39/admin/login,1659,0,0
1603606338390,12740,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-14,,true,,2616443,66151,50,50,null,0,3,0
1603606338391,9543,POST ADMIN LOGIN,200,OK,Thread Group 50 1-14,text,true,,2340648,38004,50,50,http://168.63.240.39,3101,0,2
1603606347935,3197,GET ADMIN DASHBOARD,200,OK,Thread Group 50 1-14,text,true,,275795,28147,50,50,http://168.63.240.39/admin/login,1658,0,0
