timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606020393260,8208,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-9,,true,,2611555,66065,50,50,null,0,3,0
1606020393261,6523,(POST) Admin Login,200,OK,Thread Group 50 1-9,text,true,,2337796,38018,50,50,http://104.210.79.48,1303,0,7
1606020399786,1685,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-9,text,true,,273759,28047,50,50,http://104.210.79.48/admin/login,615,0,0
1606020393385,8119,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-14,,true,,2611559,66139,50,50,null,0,93,0
1606020393386,7149,(POST) Admin Login,200,OK,Thread Group 50 1-14,text,true,,2337782,37938,50,50,http://104.210.79.48,1807,0,9
1606020400572,970,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-14,text,true,,273777,28201,50,50,http://104.210.79.48/admin/login,256,0,0
1606020393135,8394,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,2611550,66109,50,50,null,0,80,0
1606020393212,6378,(POST) Admin Login,200,OK,Thread Group 50 1-4,text,true,,2337786,38146,50,50,http://104.210.79.48,991,0,38
1606020399593,2016,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-4,text,true,,273764,27963,50,50,http://104.210.79.48/admin/login,760,0,0
1606020393462,8166,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-17,,true,,2611544,65979,50,50,null,0,3,0
1606020393463,6749,(POST) Admin Login,200,OK,Thread Group 50 1-17,text,true,,2337778,37934,50,50,http://104.210.79.48,2115,0,10
1606020400214,1417,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-17,text,true,,273766,28045,50,50,http://104.210.79.48/admin/login,411,0,0
