timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606023467625,11453,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-6,,true,,3035748,239927,50,50,null,0,37,0
1606023467657,5392,Request Login Page,200,OK,Thread Group 50 1-6,text,true,,1982995,21108,50,50,http://104.210.79.48/login,163,0,32
1606023473051,1442,(POST) User Login,200,OK,Thread Group 50 1-6,text,true,,818536,23204,50,50,http://104.210.79.48/dashboard,275,0,90
1606023474495,1909,(GET) User edit form,200,OK,Thread Group 50 1-6,text,true,,520,816,50,50,http://104.210.79.48/participant/7,1909,0,0
1606023476404,2710,(POST) UPDATE User Data,200,OK,Thread Group 50 1-6,text,true,,233697,194799,50,50,http://104.210.79.48/dashboard,1258,0,9
1606023467765,11418,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-12,,true,,3035757,240197,50,50,null,0,21,0
1606023467767,5398,Request Login Page,200,OK,Thread Group 50 1-12,text,true,,1982988,21108,50,50,http://104.210.79.48/login,310,0,6
1606023473168,1296,(POST) User Login,200,OK,Thread Group 50 1-12,text,true,,818548,23310,50,50,http://104.210.79.48/dashboard,183,0,8
1606023474478,1887,(GET) User edit form,200,OK,Thread Group 50 1-12,text,true,,522,821,50,50,http://104.210.79.48/participant/13,1887,0,0
1606023476366,2837,(POST) UPDATE User Data,200,OK,Thread Group 50 1-12,text,true,,233699,194958,50,50,http://104.210.79.48/dashboard,1362,0,46
1606023467527,11896,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-1,,true,,3035766,240403,50,50,null,0,136,0
1606023467657,5510,Request Login Page,200,OK,Thread Group 50 1-1,text,true,,1983001,21252,50,50,http://104.210.79.48/login,144,0,31
1606023473169,1399,(POST) User Login,200,OK,Thread Group 50 1-1,text,true,,818540,23262,50,50,http://104.210.79.48/dashboard,202,0,7
1606023474570,1949,(GET) User edit form,200,OK,Thread Group 50 1-1,text,true,,520,818,50,50,http://104.210.79.48/participant/3,1949,0,0
1606023476520,3038,(POST) UPDATE User Data,200,OK,Thread Group 50 1-1,text,true,,233705,195071,50,50,http://104.210.79.48/dashboard,1390,0,13
1606023468006,12349,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-24,,true,,3035798,240256,50,50,null,0,5,0
1606023468008,5154,Request Login Page,200,OK,Thread Group 50 1-24,text,true,,1982988,21108,50,50,http://104.210.79.48/login,390,0,7
1606023473164,2879,(POST) User Login,200,OK,Thread Group 50 1-24,text,true,,818571,23158,50,50,http://104.210.79.48/dashboard,356,0,18
1606023476044,1290,(GET) User edit form,200,OK,Thread Group 50 1-24,text,true,,522,815,50,50,http://104.210.79.48/participant/25,1290,0,0
1606023477334,3026,(POST) UPDATE User Data,200,OK,Thread Group 50 1-24,text,true,,233717,195175,50,50,http://104.210.79.48/dashboard,1248,0,0
1606023467971,12414,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-22,,true,,3035753,240003,50,50,null,0,16,0
1606023467978,5187,Request Login Page,200,OK,Thread Group 50 1-22,text,true,,1982998,21348,50,50,http://104.210.79.48/login,379,0,16
1606023473171,2946,(POST) User Login,200,OK,Thread Group 50 1-22,text,true,,818534,23066,50,50,http://104.210.79.48/dashboard,354,0,9
1606023476118,1307,(GET) User edit form,200,OK,Thread Group 50 1-22,text,true,,522,811,50,50,http://104.210.79.48/participant/23,1307,0,0
1606023477426,2974,(POST) UPDATE User Data,200,OK,Thread Group 50 1-22,text,true,,233699,194778,50,50,http://104.210.79.48/dashboard,1285,0,0
1606023468281,12213,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-37,,true,,3035767,240159,50,50,null,0,27,0
1606023468283,4680,Request Login Page,200,OK,Thread Group 50 1-37,text,true,,1982992,21204,50,50,http://104.210.79.48/login,468,0,7
1606023472980,3084,(POST) User Login,200,OK,Thread Group 50 1-37,text,true,,818544,23310,50,50,http://104.210.79.48/dashboard,593,0,207
1606023476071,1327,(GET) User edit form,200,OK,Thread Group 50 1-37,text,true,,522,821,50,50,http://104.210.79.48/participant/38,1327,0,0
1606023477398,3122,(POST) UPDATE User Data,200,OK,Thread Group 50 1-37,text,true,,233709,194824,50,50,http://104.210.79.48/dashboard,1320,0,0
1606023467606,12888,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-5,,true,,3035774,240346,50,50,null,0,87,0
1606023467656,5303,Request Login Page,200,OK,Thread Group 50 1-5,text,true,,1983009,21444,50,50,http://104.210.79.48/login,213,0,33
1606023472993,3198,(POST) User Login,200,OK,Thread Group 50 1-5,text,true,,818540,23174,50,50,http://104.210.79.48/dashboard,567,0,193
1606023476193,1288,(GET) User edit form,200,OK,Thread Group 50 1-5,text,true,,520,814,50,50,http://104.210.79.48/participant/6,1288,0,0
1606023477481,3099,(POST) UPDATE User Data,200,OK,Thread Group 50 1-5,text,true,,233705,194914,50,50,http://104.210.79.48/dashboard,1293,0,0
1606023467916,12687,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-18,,true,,3035754,239870,50,50,null,0,5,0
1606023467917,5091,Request Login Page,200,OK,Thread Group 50 1-18,text,true,,1982997,21156,50,50,http://104.210.79.48/login,290,0,7
1606023473010,3248,(POST) User Login,200,OK,Thread Group 50 1-18,text,true,,818534,23058,50,50,http://104.210.79.48/dashboard,701,0,178
1606023476259,1207,(GET) User edit form,200,OK,Thread Group 50 1-18,text,true,,522,811,50,50,http://104.210.79.48/participant/19,1207,0,0
1606023477467,3141,(POST) UPDATE User Data,200,OK,Thread Group 50 1-18,text,true,,233701,194845,50,50,http://104.210.79.48/dashboard,1271,0,0
1606023467924,12383,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-20,,true,,3035791,240029,50,50,null,0,343,0
1606023467925,4997,Request Login Page,200,OK,Thread Group 50 1-20,text,true,,1983001,21252,50,50,http://104.210.79.48/login,359,0,7
1606023473262,3074,(POST) User Login,200,OK,Thread Group 50 1-20,text,true,,818567,23112,50,50,http://104.210.79.48/dashboard,680,0,8
1606023476338,1178,(GET) User edit form,200,OK,Thread Group 50 1-20,text,true,,522,813,50,50,http://104.210.79.48/participant/21,1178,0,0
1606023477516,3134,(POST) UPDATE User Data,200,OK,Thread Group 50 1-20,text,true,,233701,194852,50,50,http://104.210.79.48/dashboard,1309,0,0
1606023468528,12173,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-49,,true,,3035762,240156,50,50,null,0,6,0
1606023468529,4649,Request Login Page,200,OK,Thread Group 50 1-49,text,true,,1982999,21204,50,50,http://104.210.79.48/login,422,0,7
1606023473180,3222,(POST) User Login,200,OK,Thread Group 50 1-49,text,true,,818546,23264,50,50,http://104.210.79.48/dashboard,540,0,22
1606023476403,1176,(GET) User edit form,200,OK,Thread Group 50 1-49,text,true,,522,819,50,50,http://104.210.79.48/participant/49,1176,0,0
1606023477580,3126,(POST) UPDATE User Data,200,OK,Thread Group 50 1-49,text,true,,233695,194869,50,50,http://104.210.79.48/dashboard,1372,0,0
1606023468084,12651,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-28,,true,,3035757,240190,50,50,null,0,6,0
1606023468085,5140,Request Login Page,200,OK,Thread Group 50 1-28,text,true,,1982994,21252,50,50,http://104.210.79.48/login,397,0,10
1606023473227,3148,(POST) User Login,200,OK,Thread Group 50 1-28,text,true,,818538,23114,50,50,http://104.210.79.48/dashboard,544,0,6
1606023476376,1235,(GET) User edit form,200,OK,Thread Group 50 1-28,text,true,,522,813,50,50,http://104.210.79.48/participant/29,1235,0,0
1606023477612,3128,(POST) UPDATE User Data,200,OK,Thread Group 50 1-28,text,true,,233703,195011,50,50,http://104.210.79.48/dashboard,1368,0,0
1606023468302,12542,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-38,,true,,3035745,239920,50,50,null,0,20,0
1606023468303,4890,Request Login Page,200,OK,Thread Group 50 1-38,text,true,,1982990,21156,50,50,http://104.210.79.48/login,447,0,10
1606023473210,3126,(POST) User Login,200,OK,Thread Group 50 1-38,text,true,,818536,23204,50,50,http://104.210.79.48/dashboard,545,0,15
1606023476337,1221,(GET) User edit form,200,OK,Thread Group 50 1-38,text,true,,522,817,50,50,http://104.210.79.48/participant/39,1221,0,0
1606023477558,3305,(POST) UPDATE User Data,200,OK,Thread Group 50 1-38,text,true,,233697,194743,50,50,http://104.210.79.48/dashboard,1373,0,0
1606023468024,12833,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-25,,true,,3035769,240336,50,50,null,0,9,0
1606023468025,5228,Request Login Page,200,OK,Thread Group 50 1-25,text,true,,1982998,21348,50,50,http://104.210.79.48/login,380,0,7
1606023473254,3188,(POST) User Login,200,OK,Thread Group 50 1-25,text,true,,818550,23274,50,50,http://104.210.79.48/dashboard,644,0,8
1606023476447,1259,(GET) User edit form,200,OK,Thread Group 50 1-25,text,true,,522,819,50,50,http://104.210.79.48/participant/26,1259,0,0
1606023477707,3158,(POST) UPDATE User Data,200,OK,Thread Group 50 1-25,text,true,,233699,194895,50,50,http://104.210.79.48/dashboard,1408,0,0
1606023467585,13070,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-4,,true,,3035752,239984,50,50,null,0,256,0
1606023467656,5417,Request Login Page,200,OK,Thread Group 50 1-4,text,true,,1982997,21156,50,50,http://104.210.79.48/login,137,0,32
1606023473256,3180,(POST) User Login,200,OK,Thread Group 50 1-4,text,true,,818538,23160,50,50,http://104.210.79.48/dashboard,651,0,8
1606023476437,1213,(GET) User edit form,200,OK,Thread Group 50 1-4,text,true,,520,814,50,50,http://104.210.79.48/participant/5,1212,0,0
1606023477650,3260,(POST) UPDATE User Data,200,OK,Thread Group 50 1-4,text,true,,233697,194854,50,50,http://104.210.79.48/dashboard,1353,0,0
1606023467649,13342,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-7,,true,,3035760,240046,50,50,null,0,11,0
1606023467657,5633,Request Login Page,200,OK,Thread Group 50 1-7,text,true,,1982999,21204,50,50,http://104.210.79.48/login,236,0,32
1606023473291,3176,(POST) User Login,200,OK,Thread Group 50 1-7,text,true,,818536,23056,50,50,http://104.210.79.48/dashboard,675,0,7
1606023476468,1283,(GET) User edit form,200,OK,Thread Group 50 1-7,text,true,,520,810,50,50,http://104.210.79.48/participant/8,1283,0,0
1606023477751,3250,(POST) UPDATE User Data,200,OK,Thread Group 50 1-7,text,true,,233705,194976,50,50,http://104.210.79.48/dashboard,1401,0,0
1606023467724,13277,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-10,,true,,3035763,240232,50,50,null,0,8,0
1606023467725,5622,Request Login Page,200,OK,Thread Group 50 1-10,text,true,,1982998,21204,50,50,http://104.210.79.48/login,271,0,9
1606023473350,3172,(POST) User Login,200,OK,Thread Group 50 1-10,text,true,,818542,23308,50,50,http://104.210.79.48/dashboard,825,0,9
1606023476523,1236,(GET) User edit form,200,OK,Thread Group 50 1-10,text,true,,522,821,50,50,http://104.210.79.48/participant/11,1236,0,0
1606023477760,3247,(POST) UPDATE User Data,200,OK,Thread Group 50 1-10,text,true,,233701,194899,50,50,http://104.210.79.48/dashboard,1406,0,0
1606023467971,13065,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-23,,true,,3035779,240537,50,50,null,0,14,0
1606023467979,5378,Request Login Page,200,OK,Thread Group 50 1-23,text,true,,1983000,21396,50,50,http://104.210.79.48/login,404,0,12
1606023473359,3194,(POST) User Login,200,OK,Thread Group 50 1-23,text,true,,818550,23372,50,50,http://104.210.79.48/dashboard,862,0,9
1606023476555,1298,(GET) User edit form,200,OK,Thread Group 50 1-23,text,true,,522,823,50,50,http://104.210.79.48/participant/24,1298,0,0
1606023477853,3195,(POST) UPDATE User Data,200,OK,Thread Group 50 1-23,text,true,,233707,194946,50,50,http://104.210.79.48/dashboard,1442,0,0
1606023467685,13413,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-9,,true,,3035802,240515,50,50,null,0,5,0
1606023467686,5661,Request Login Page,200,OK,Thread Group 50 1-9,text,true,,1982994,21252,50,50,http://104.210.79.48/login,307,0,8
1606023473348,3190,(POST) User Login,200,OK,Thread Group 50 1-9,text,true,,818585,23514,50,50,http://104.210.79.48/dashboard,784,0,8
1606023476539,1271,(GET) User edit form,200,OK,Thread Group 50 1-9,text,true,,522,829,50,50,http://104.210.79.48/participant/10,1271,0,0
1606023477811,3291,(POST) UPDATE User Data,200,OK,Thread Group 50 1-9,text,true,,233701,194920,50,50,http://104.210.79.48/dashboard,1362,0,0
1606023467567,13464,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-3,,true,,3035775,240516,50,50,null,0,92,0
1606023467656,5700,Request Login Page,200,OK,Thread Group 50 1-3,text,true,,1983010,21444,50,50,http://104.210.79.48/login,264,0,33
1606023473357,3199,(POST) User Login,200,OK,Thread Group 50 1-3,text,true,,818536,23218,50,50,http://104.210.79.48/dashboard,845,0,10
1606023476557,1310,(GET) User edit form,200,OK,Thread Group 50 1-3,text,true,,520,816,50,50,http://104.210.79.48/participant/4,1310,0,0
1606023477867,3255,(POST) UPDATE User Data,200,OK,Thread Group 50 1-3,text,true,,233709,195038,50,50,http://104.210.79.48/dashboard,1462,0,0
