timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/11/03 10:05:08.765,26473,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-15,,true,,3446019,372619,50,50,null,0,6,0
2021/11/03 10:05:08.766,19002,(GET) Registration Page,200,OK,Thread Group 50 1-15,text,true,,3255845,173623,50,50,http://52.253.89.65/daftar/pemrograman,841,0,36
2021/11/03 10:05:27.773,7471,(POST) INSERT New User,200,OK,Thread Group 50 1-15,text,true,,190174,198996,50,50,http://52.253.89.65/login,4211,0,64
2021/11/03 10:05:08.845,28252,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-19,,true,,3446044,373106,50,50,null,0,4,0
2021/11/03 10:05:08.846,20863,(GET) Registration Page,200,OK,Thread Group 50 1-19,text,true,,3255866,173935,50,50,http://52.253.89.65/daftar/pemrograman,1097,0,35
2021/11/03 10:05:29.712,7389,(POST) INSERT New User,200,OK,Thread Group 50 1-19,text,true,,190178,199171,50,50,http://52.253.89.65/login,3893,0,36
2021/11/03 10:05:08.526,30492,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-2,,true,,3445980,372298,50,50,null,0,91,0
2021/11/03 10:05:08.614,22693,(GET) Registration Page,200,OK,Thread Group 50 1-2,text,true,,3255810,173517,50,50,http://52.253.89.65/daftar/pemrograman,498,0,76
2021/11/03 10:05:31.311,7799,(POST) INSERT New User,200,OK,Thread Group 50 1-2,text,true,,190170,198781,50,50,http://52.253.89.65/login,3650,0,36
2021/11/03 10:05:08.684,31795,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-11,,true,,3445964,372319,50,50,null,0,7,0
2021/11/03 10:05:08.687,23620,(GET) Registration Page,200,OK,Thread Group 50 1-11,text,true,,3255798,173413,50,50,http://52.253.89.65/daftar/pemrograman,706,0,34
2021/11/03 10:05:32.312,8175,(POST) INSERT New User,200,OK,Thread Group 50 1-11,text,true,,190166,198906,50,50,http://52.253.89.65/login,3468,0,36
2021/11/03 10:05:08.706,32262,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-12,,true,,3446046,372993,50,50,null,0,3,0
2021/11/03 10:05:08.707,24011,(GET) Registration Page,200,OK,Thread Group 50 1-12,text,true,,3255871,174037,50,50,http://52.253.89.65/daftar/pemrograman,724,0,34
2021/11/03 10:05:32.721,8251,(POST) INSERT New User,200,OK,Thread Group 50 1-12,text,true,,190175,198956,50,50,http://52.253.89.65/login,3432,0,36
2021/11/03 10:05:08.911,32284,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-22,,true,,3446024,372531,50,50,null,0,3,0
2021/11/03 10:05:08.912,23787,(GET) Registration Page,200,OK,Thread Group 50 1-22,text,true,,3255868,173731,50,50,http://52.253.89.65/daftar/pemrograman,1167,0,36
2021/11/03 10:05:32.702,8497,(POST) INSERT New User,200,OK,Thread Group 50 1-22,text,true,,190156,198800,50,50,http://52.253.89.65/login,3541,0,36
2021/11/03 10:05:09.186,32165,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-34,,true,,3446023,373286,50,50,null,0,4,0
2021/11/03 10:05:09.187,23827,(GET) Registration Page,200,OK,Thread Group 50 1-34,text,true,,3255853,174247,50,50,http://52.253.89.65/daftar/pemrograman,1995,0,37
2021/11/03 10:05:33.017,8338,(POST) INSERT New User,200,OK,Thread Group 50 1-34,text,true,,190170,199039,50,50,http://52.253.89.65/login,3320,0,34
2021/11/03 10:05:08.546,32903,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-3,,true,,3446024,373218,50,50,null,0,68,0
2021/11/03 10:05:08.611,24336,(GET) Registration Page,200,OK,Thread Group 50 1-3,text,true,,3255842,174199,50,50,http://52.253.89.65/daftar/pemrograman,401,0,80
2021/11/03 10:05:32.951,8567,(POST) INSERT New User,200,OK,Thread Group 50 1-3,text,true,,190182,199019,50,50,http://52.253.89.65/login,3466,0,36
2021/11/03 10:05:08.925,32729,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-23,,true,,3445989,372905,50,50,null,0,3,0
