timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/11/03 10:25:09.840,42565,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-3,,true,,70014630,864708,50,50,null,0,77,0
2021/11/03 10:25:09.905,12782,(POST) Admin Login,200,OK,Thread Group 50 1-3,text,true,,68849811,416614,50,50,http://52.253.89.65/admin,683,0,67
2021/11/03 10:25:22.697,29783,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-3,text,true,,1164819,448094,50,50,http://52.253.89.65/admin,13038,0,37
2021/11/03 10:25:09.798,43932,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-1,,true,,70014634,864706,50,50,null,0,115,0
2021/11/03 10:25:09.906,13647,(POST) Admin Login,200,OK,Thread Group 50 1-1,text,true,,68849809,414134,50,50,http://52.253.89.65/admin,884,0,66
2021/11/03 10:25:23.558,30285,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-1,text,true,,1164825,450572,50,50,http://52.253.89.65/admin,14934,0,34
2021/11/03 10:25:09.896,45101,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-6,,true,,70014644,869682,50,50,null,0,18,0
2021/11/03 10:25:09.906,27889,(POST) Admin Login,200,OK,Thread Group 50 1-6,text,true,,68849817,418272,50,50,http://52.253.89.65/admin,1835,0,81
2021/11/03 10:25:37.800,17212,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-6,text,true,,1164827,451410,50,50,http://52.253.89.65/admin,2529,0,99
2021/11/03 10:25:09.857,45179,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,70014645,869678,50,50,null,0,61,0
2021/11/03 10:25:09.906,23480,(POST) Admin Login,200,OK,Thread Group 50 1-4,text,true,,68849812,415790,50,50,http://52.253.89.65/admin,1556,0,81
2021/11/03 10:25:33.392,21699,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-4,text,true,,1164833,453888,50,50,http://52.253.89.65/admin,6072,0,45
2021/11/03 10:25:09.816,45792,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-2,,true,,70014636,868018,50,50,null,0,97,0
2021/11/03 10:25:09.905,28167,(POST) Admin Login,200,OK,Thread Group 50 1-2,text,true,,68849809,416612,50,50,http://52.253.89.65/admin,1578,0,68
2021/11/03 10:25:38.077,17625,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-2,text,true,,1164827,451406,50,50,http://52.253.89.65/admin,2210,0,131
2021/11/03 10:25:09.957,45766,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-9,,true,,70014638,868026,50,50,null,0,5,0
2021/11/03 10:25:09.958,30120,(POST) Admin Login,200,OK,Thread Group 50 1-9,text,true,,68849817,419098,50,50,http://52.253.89.65/admin,2569,0,34
