timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/11/03 10:45:10.817,17737,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-25,,true,,3076629,239936,50,50,null,0,27,0
2021/11/03 10:45:10.818,3236,Request Login Page,200,OK,Thread Group 50 1-25,text,true,,2015783,21131,50,50,http://52.253.89.65/login,875,0,43
2021/11/03 10:45:14.077,5445,(POST) User Login,200,OK,Thread Group 50 1-25,text,true,,822580,23129,50,50,http://52.253.89.65/dashboard,1148,0,268
2021/11/03 10:45:19.523,3485,(GET) User edit form,200,OK,Thread Group 50 1-25,text,true,,522,814,50,50,http://52.253.89.65/participant/34,3485,0,0
2021/11/03 10:45:23.008,5571,(POST) UPDATE User Data,200,OK,Thread Group 50 1-25,text,true,,237744,194862,50,50,http://52.253.89.65/dashboard,2489,0,36
2021/11/03 10:45:10.449,18142,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-8,,true,,3076614,239991,50,50,null,0,7,0
2021/11/03 10:45:10.450,3826,Request Login Page,200,OK,Thread Group 50 1-8,text,true,,2015780,21179,50,50,http://52.253.89.65/login,468,0,54
2021/11/03 10:45:14.279,5110,(POST) User Login,200,OK,Thread Group 50 1-8,text,true,,822584,23087,50,50,http://52.253.89.65/dashboard,889,0,65
2021/11/03 10:45:19.390,3486,(GET) User edit form,200,OK,Thread Group 50 1-8,text,true,,522,812,50,50,http://52.253.89.65/participant/18,3486,0,0
2021/11/03 10:45:22.876,5720,(POST) UPDATE User Data,200,OK,Thread Group 50 1-8,text,true,,237728,194913,50,50,http://52.253.89.65/dashboard,2515,0,52
2021/11/03 10:45:10.565,18203,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-14,,true,,3076620,240041,50,50,null,0,74,0
2021/11/03 10:45:10.566,3630,Request Login Page,200,OK,Thread Group 50 1-14,text,true,,2015784,21275,50,50,http://52.253.89.65/login,658,0,34
2021/11/03 10:45:14.265,5429,(POST) User Login,200,OK,Thread Group 50 1-14,text,true,,822571,23093,50,50,http://52.253.89.65/dashboard,967,0,84
