timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/03/24 20:00:20.537,30538,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-1,,true,,86022153,1088844,50,50,null,0,104,0
2021/03/24 20:00:20.635,8956,POST USER LOGIN,200,OK,Thread Group 50 1-1,text,true,,85210244,523439,50,50,http://13.76.218.209/dashboard,719,0,23
2021/03/24 20:00:29.595,21582,POST DELETE participant,200,OK,Thread Group 50 1-1,text,true,,811909,565405,50,50,http://13.76.218.209/dashboard,6308,0,0
2021/03/24 20:00:20.592,30692,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,86020842,1092987,50,50,null,0,55,0
2021/03/24 20:00:20.635,15476,POST USER LOGIN,200,OK,Thread Group 50 1-4,text,true,,85210462,526587,50,50,http://13.76.218.209/dashboard,1271,0,23
2021/03/24 20:00:36.120,15216,POST DELETE participant,200,OK,Thread Group 50 1-4,text,true,,810380,566400,50,50,http://13.76.218.209/dashboard,1643,0,64
2021/03/24 20:00:20.638,31179,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-6,,true,,86022159,1088866,50,50,null,0,18,0
2021/03/24 20:00:20.639,8510,POST USER LOGIN,200,OK,Thread Group 50 1-6,text,true,,85210246,524487,50,50,http://13.76.218.209/dashboard,569,0,19
2021/03/24 20:00:29.165,22669,POST DELETE participant,200,OK,Thread Group 50 1-6,text,true,,811913,564379,50,50,http://13.76.218.209/dashboard,6635,0,0
2021/03/24 20:00:20.572,32215,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-2,,true,,86020702,1084631,50,50,null,0,68,0
2021/03/24 20:00:20.635,9737,POST USER LOGIN,200,OK,Thread Group 50 1-2,text,true,,85210330,522399,50,50,http://13.76.218.209/dashboard,815,0,24
2021/03/24 20:00:30.376,22478,POST DELETE participant,200,OK,Thread Group 50 1-2,text,true,,810372,562232,50,50,http://13.76.218.209/dashboard,6117,0,0
2021/03/24 20:00:20.613,37954,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-5,,true,,86019273,1087700,50,50,null,0,28,0
2021/03/24 20:00:20.635,24597,POST USER LOGIN,200,OK,Thread Group 50 1-5,text,true,,85210420,523439,50,50,http://13.76.218.209/dashboard,1379,0,23
2021/03/24 20:00:45.237,13357,POST DELETE participant,200,OK,Thread Group 50 1-5,text,true,,808853,564261,50,50,http://13.76.218.209/dashboard,233,0,59
2021/03/24 20:00:20.662,44417,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-7,,true,,86016047,1088612,50,50,null,0,9,0
2021/03/24 20:00:20.663,31127,POST USER LOGIN,200,OK,Thread Group 50 1-7,text,true,,85210241,523437,50,50,http://13.76.218.209/dashboard,1608,0,2
2021/03/24 20:00:51.794,13290,POST DELETE participant,200,OK,Thread Group 50 1-7,text,true,,805806,565175,50,50,http://13.76.218.209/dashboard,383,0,130
2021/03/24 20:00:20.577,44473,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-3,,true,,86016057,1084492,50,50,null,0,63,0
2021/03/24 20:00:20.635,30913,POST USER LOGIN,200,OK,Thread Group 50 1-3,text,true,,85210248,523443,50,50,http://13.76.218.209/dashboard,1523,0,23
2021/03/24 20:00:51.552,13560,POST DELETE participant,200,OK,Thread Group 50 1-3,text,true,,805809,561049,50,50,http://13.76.218.209/dashboard,629,0,134
2021/03/24 20:00:20.708,45570,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-8,,true,,86012994,1081290,50,50,null,0,6,0
2021/03/24 20:00:20.709,36839,POST USER LOGIN,200,OK,Thread Group 50 1-8,text,true,,85210248,524489,50,50,http://13.76.218.209/dashboard,2249,0,9
2021/03/24 20:00:20.696,45581,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-9,,true,,86014527,1089631,50,50,null,0,8,0
2021/03/24 20:00:57.552,8731,POST DELETE participant,200,OK,Thread Group 50 1-8,text,true,,802746,556801,50,50,http://13.76.218.209/dashboard,274,0,85
2021/03/24 20:00:20.697,35154,POST USER LOGIN,200,OK,Thread Group 50 1-9,text,true,,85210250,526583,50,50,http://13.76.218.209/dashboard,2125,0,2
2021/03/24 20:00:55.856,10427,POST DELETE participant,200,OK,Thread Group 50 1-9,text,true,,804277,563048,50,50,http://13.76.218.209/dashboard,492,0,154
2021/03/24 20:00:20.817,45793,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-15,,true,,86009953,1081172,50,50,null,0,6,0
2021/03/24 20:00:20.818,38426,POST USER LOGIN,200,OK,Thread Group 50 1-15,text,true,,85210246,524487,50,50,http://13.76.218.209/dashboard,3231,0,1
2021/03/24 20:00:59.248,7367,POST DELETE participant,200,OK,Thread Group 50 1-15,text,true,,799707,556685,50,50,http://13.76.218.209/dashboard,389,0,135
2021/03/24 20:00:20.761,45868,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-12,,true,,86003881,1073688,50,50,null,0,6,0
2021/03/24 20:00:20.762,40430,POST USER LOGIN,200,OK,Thread Group 50 1-12,text,true,,85210281,522393,50,50,http://13.76.218.209/dashboard,2496,0,1
2021/03/24 20:01:01.195,5438,POST DELETE participant,200,OK,Thread Group 50 1-12,text,true,,793600,551295,50,50,http://13.76.218.209/dashboard,238,0,51
2021/03/24 20:00:20.737,45900,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-11,,true,,86011484,1081279,50,50,null,0,5,0
2021/03/24 20:00:20.737,37944,POST USER LOGIN,200,OK,Thread Group 50 1-11,text,true,,85210260,526585,50,50,http://13.76.218.209/dashboard,2376,0,2
2021/03/24 20:00:58.685,7956,POST DELETE participant,200,OK,Thread Group 50 1-11,text,true,,801224,554694,50,50,http://13.76.218.209/dashboard,537,0,180
2021/03/24 20:00:20.721,45924,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-10,,true,,86006904,1081116,50,50,null,0,4,0
2021/03/24 20:00:20.721,39369,POST USER LOGIN,200,OK,Thread Group 50 1-10,text,true,,85210260,527639,50,50,http://13.76.218.209/dashboard,2392,0,2
2021/03/24 20:01:00.093,6555,POST DELETE participant,200,OK,Thread Group 50 1-10,text,true,,796644,553477,50,50,http://13.76.218.209/dashboard,315,0,109
2021/03/24 20:00:20.825,45834,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-16,,true,,86005366,1074773,50,50,null,0,4,0
2021/03/24 20:00:20.826,39881,POST USER LOGIN,200,OK,Thread Group 50 1-16,text,true,,85210244,522393,50,50,http://13.76.218.209/dashboard,3211,0,1
2021/03/24 20:01:00.709,5953,POST DELETE participant,200,OK,Thread Group 50 1-16,text,true,,795122,552380,50,50,http://13.76.218.209/dashboard,355,0,103
2021/03/24 20:00:21.108,45651,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-28,,true,,86002323,1073619,50,50,null,0,5,0
2021/03/24 20:00:21.109,40612,POST USER LOGIN,200,OK,Thread Group 50 1-28,text,true,,85210244,522395,50,50,http://13.76.218.209/dashboard,5805,0,1
2021/03/24 20:01:01.724,5039,POST DELETE participant,200,OK,Thread Group 50 1-28,text,true,,792079,551224,50,50,http://13.76.218.209/dashboard,388,0,102
2021/03/24 20:00:20.990,45787,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-24,,true,,85996228,1072353,50,50,null,0,5,0
2021/03/24 20:00:20.990,41748,POST USER LOGIN,200,OK,Thread Group 50 1-24,text,true,,85210242,524485,50,50,http://13.76.218.209/dashboard,4928,0,2
2021/03/24 20:01:02.741,4039,POST DELETE participant,200,OK,Thread Group 50 1-24,text,true,,785986,547868,50,50,http://13.76.218.209/dashboard,263,0,38
2021/03/24 20:00:20.778,45999,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-13,,true,,86008421,1081123,50,50,null,0,5,0
2021/03/24 20:00:20.779,38883,POST USER LOGIN,200,OK,Thread Group 50 1-13,text,true,,85210250,525537,50,50,http://13.76.218.209/dashboard,3031,0,1
2021/03/24 20:00:59.665,7116,POST DELETE participant,200,OK,Thread Group 50 1-13,text,true,,798171,555586,50,50,http://13.76.218.209/dashboard,357,0,88
2021/03/24 20:00:20.921,45883,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-20,,true,,85994701,1067154,50,50,null,0,5,0
2021/03/24 20:00:20.921,41871,POST USER LOGIN,200,OK,Thread Group 50 1-20,text,true,,85210252,522395,50,50,http://13.76.218.209/dashboard,4090,0,2
2021/03/24 20:01:02.795,4012,POST DELETE participant,200,OK,Thread Group 50 1-20,text,true,,784449,544759,50,50,http://13.76.218.209/dashboard,593,0,137
2021/03/24 20:00:20.898,45941,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-19,,true,,85993184,1066079,50,50,null,0,5,0
2021/03/24 20:00:20.898,42200,POST USER LOGIN,200,OK,Thread Group 50 1-19,text,true,,85210258,522407,50,50,http://13.76.218.209/dashboard,3952,0,1
2021/03/24 20:01:03.101,3741,POST DELETE participant,200,OK,Thread Group 50 1-19,text,true,,782926,543672,50,50,http://13.76.218.209/dashboard,627,0,142
2021/03/24 20:00:20.801,46043,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-14,,true,,85999273,1071435,50,50,null,0,5,0
2021/03/24 20:00:20.802,41515,POST USER LOGIN,200,OK,Thread Group 50 1-14,text,true,,85210243,522393,50,50,http://13.76.218.209/dashboard,3092,0,1
2021/03/24 20:01:02.320,4528,POST DELETE participant,200,OK,Thread Group 50 1-14,text,true,,789030,549042,50,50,http://13.76.218.209/dashboard,379,0,125
2021/03/24 20:00:20.937,45933,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-21,,true,,85991655,1072130,50,50,null,0,4,0
2021/03/24 20:00:20.981,45888,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-23,,true,,85997744,1070380,50,50,null,0,5,0
2021/03/24 20:00:20.938,42532,POST USER LOGIN,200,OK,Thread Group 50 1-21,text,true,,85210250,525537,50,50,http://13.76.218.209/dashboard,4162,0,19
2021/03/24 20:00:20.982,41463,POST USER LOGIN,200,OK,Thread Group 50 1-23,text,true,,85210244,523439,50,50,http://13.76.218.209/dashboard,4896,0,1
2021/03/24 20:01:03.472,3401,POST DELETE participant,200,OK,Thread Group 50 1-21,text,true,,781405,546593,50,50,http://13.76.218.209/dashboard,674,0,6
2021/03/24 20:01:02.448,4425,POST DELETE participant,200,OK,Thread Group 50 1-23,text,true,,787500,546941,50,50,http://13.76.218.209/dashboard,414,0,123
2021/03/24 20:00:20.881,45998,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-18,,true,,85991661,1067994,50,50,null,0,6,0
2021/03/24 20:00:20.882,42519,POST USER LOGIN,200,OK,Thread Group 50 1-18,text,true,,85210252,522395,50,50,http://13.76.218.209/dashboard,4016,0,1
2021/03/24 20:01:03.405,3479,POST DELETE participant,200,OK,Thread Group 50 1-18,text,true,,781409,545599,50,50,http://13.76.218.209/dashboard,797,0,54
2021/03/24 20:00:20.857,46142,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-17,,true,,85979793,1055234,50,50,null,0,5,0
2021/03/24 20:00:20.858,43271,POST USER LOGIN,200,OK,Thread Group 50 1-17,text,true,,85210242,521345,50,50,http://13.76.218.209/dashboard,3346,0,1
2021/03/24 20:01:04.131,2871,POST DELETE participant,200,OK,Thread Group 50 1-17,text,true,,769551,533889,50,50,http://13.76.218.209/dashboard,745,0,84
2021/03/24 20:00:51.341,15802,DELETE Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,1573229,1094760,50,50,null,0,6,0
2021/03/24 20:00:51.344,13023,POST USER LOGIN,200,OK,Thread Group 50 1-4,text,true,,808522,562158,50,50,http://13.76.218.209/dashboard,268,0,98
