timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/10/29 11:40:13.840,24320,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-15,,true,,5913364,372698,50,50,null,0,9,0
2021/10/29 11:40:13.841,16986,(GET) Registration Page,200,OK,Thread Group 50 1-15,text,true,,5723230,173755,50,50,http://52.230.41.69/daftar/pemrograman,1070,0,34
2021/10/29 11:40:30.835,7334,(POST) INSERT New User,200,OK,Thread Group 50 1-15,text,true,,190134,198943,50,50,http://52.230.41.69/login,3965,0,55
2021/10/29 11:40:13.915,24502,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-18,,true,,3445677,372781,50,50,null,0,8,0
2021/10/29 11:40:13.917,17761,(GET) Registration Page,200,OK,Thread Group 50 1-18,text,true,,3255550,173877,50,50,http://52.230.41.69/daftar/pemrograman,1170,0,37
2021/10/29 11:40:31.685,6741,(POST) INSERT New User,200,OK,Thread Group 50 1-18,text,true,,190127,198904,50,50,http://52.230.41.69/login,3426,0,37
2021/10/29 11:40:13.600,25279,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-3,,true,,3445636,372388,50,50,null,0,88,0
2021/10/29 11:40:13.684,18550,(GET) Registration Page,200,OK,Thread Group 50 1-3,text,true,,3255519,173617,50,50,http://52.230.41.69/daftar/pemrograman,732,0,93
2021/10/29 11:40:32.238,6729,(POST) INSERT New User,200,OK,Thread Group 50 1-3,text,true,,190117,198771,50,50,http://52.230.41.69/login,3373,0,35
2021/10/29 11:40:13.566,25942,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-1,,true,,3445685,373212,50,50,null,0,122,0
2021/10/29 11:40:13.685,18823,(GET) Registration Page,200,OK,Thread Group 50 1-1,text,true,,3255535,174197,50,50,http://52.230.41.69/daftar/pemrograman,635,0,91
2021/10/29 11:40:32.512,7119,(POST) INSERT New User,200,OK,Thread Group 50 1-1,text,true,,190150,199015,50,50,http://52.230.41.69/login,3570,0,38
2021/10/29 11:40:13.622,26900,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,3494796,372974,50,50,null,0,67,0
2021/10/29 11:40:13.685,19482,(GET) Registration Page,200,OK,Thread Group 50 1-4,text,true,,3304661,174113,50,50,http://52.230.41.69/daftar/pemrograman,858,0,92
2021/10/29 11:40:33.172,7418,(POST) INSERT New User,200,OK,Thread Group 50 1-4,text,true,,190135,198861,50,50,http://52.230.41.69/login,3545,0,36
2021/10/29 11:40:14.213,26772,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-31,,true,,3445655,372961,50,50,null,0,5,0
2021/10/29 11:40:14.214,19208,(GET) Registration Page,200,OK,Thread Group 50 1-31,text,true,,3255514,173937,50,50,http://52.230.41.69/daftar/pemrograman,1574,0,34
2021/10/29 11:40:33.426,7564,(POST) INSERT New User,200,OK,Thread Group 50 1-31,text,true,,190141,199024,50,50,http://52.230.41.69/login,3434,0,36
2021/10/29 11:40:13.580,27688,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-2,,true,,3445669,372967,50,50,null,0,109,0
2021/10/29 11:40:13.685,20026,(GET) Registration Page,200,OK,Thread Group 50 1-2,text,true,,3255531,173833,50,50,http://52.230.41.69/daftar/pemrograman,630,0,91
2021/10/29 11:40:33.716,7662,(POST) INSERT New User,200,OK,Thread Group 50 1-2,text,true,,190138,199134,50,50,http://52.230.41.69/login,3527,0,36
2021/10/29 11:40:13.861,27805,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-16,,true,,4722535,372860,50,50,null,0,3,0
2021/10/29 11:40:13.862,19944,(GET) Registration Page,200,OK,Thread Group 50 1-16,text,true,,4532385,173839,50,50,http://52.230.41.69/daftar/pemrograman,1079,0,35
2021/10/29 11:40:33.809,7861,(POST) INSERT New User,200,OK,Thread Group 50 1-16,text,true,,190150,199021,50,50,http://52.230.41.69/login,3646,0,36
2021/10/29 11:40:13.701,28144,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-8,,true,,3445636,372702,50,50,null,0,3,0
2021/10/29 11:40:13.702,20085,(GET) Registration Page,200,OK,Thread Group 50 1-8,text,true,,3255510,173877,50,50,http://52.230.41.69/daftar/pemrograman,517,0,54
2021/10/29 11:40:33.790,8059,(POST) INSERT New User,200,OK,Thread Group 50 1-8,text,true,,190126,198825,50,50,http://52.230.41.69/login,3714,0,36
2021/10/29 11:40:13.720,29121,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-9,,true,,3445700,372766,50,50,null,0,5,0
2021/10/29 11:40:13.721,20974,(GET) Registration Page,200,OK,Thread Group 50 1-9,text,true,,3255558,173777,50,50,http://52.230.41.69/daftar/pemrograman,503,0,35
2021/10/29 11:40:34.699,8147,(POST) INSERT New User,200,OK,Thread Group 50 1-9,text,true,,190142,198989,50,50,http://52.230.41.69/login,3500,0,36
2021/10/29 11:40:13.781,29274,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-12,,true,,3494791,372509,50,50,null,0,4,0
2021/10/29 11:40:13.782,20652,(GET) Registration Page,200,OK,Thread Group 50 1-12,text,true,,3304655,173587,50,50,http://52.230.41.69/daftar/pemrograman,926,0,34
2021/10/29 11:40:34.438,8622,(POST) INSERT New User,200,OK,Thread Group 50 1-12,text,true,,190136,198922,50,50,http://52.230.41.69/login,3769,0,38
2021/10/29 11:40:13.640,29578,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-5,,true,,3445666,372784,50,50,null,0,48,0
2021/10/29 11:40:13.684,21184,(GET) Registration Page,200,OK,Thread Group 50 1-5,text,true,,3255516,173831,50,50,http://52.230.41.69/daftar/pemrograman,450,0,72
2021/10/29 11:40:34.872,8394,(POST) INSERT New User,200,OK,Thread Group 50 1-5,text,true,,190150,198953,50,50,http://52.230.41.69/login,3607,0,38
2021/10/29 11:40:13.940,29478,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-19,,true,,3445621,372565,50,50,null,0,5,0
2021/10/29 11:40:13.941,21210,(GET) Registration Page,200,OK,Thread Group 50 1-19,text,true,,3255501,173827,50,50,http://52.230.41.69/daftar/pemrograman,1095,0,35
2021/10/29 11:40:35.155,8268,(POST) INSERT New User,200,OK,Thread Group 50 1-19,text,true,,190120,198738,50,50,http://52.230.41.69/login,3590,0,36
2021/10/29 11:40:14.303,29319,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-35,,true,,3469177,372744,50,50,null,0,5,0
2021/10/29 11:40:14.304,20933,(GET) Registration Page,200,OK,Thread Group 50 1-35,text,true,,3279047,173793,50,50,http://52.230.41.69/daftar/pemrograman,1756,0,35
2021/10/29 11:40:35.241,8386,(POST) INSERT New User,200,OK,Thread Group 50 1-35,text,true,,190130,198951,50,50,http://52.230.41.69/login,3608,0,39
2021/10/29 11:40:13.682,30614,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-7,,true,,3445629,372639,50,50,null,0,5,0
2021/10/29 11:40:13.685,21998,(GET) Registration Page,200,OK,Thread Group 50 1-7,text,true,,3255501,173721,50,50,http://52.230.41.69/daftar/pemrograman,759,0,92
2021/10/29 11:40:35.686,8616,(POST) INSERT New User,200,OK,Thread Group 50 1-7,text,true,,190128,198918,50,50,http://52.230.41.69/login,3639,0,37
2021/10/29 11:40:13.883,30484,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-17,,true,,3445655,372848,50,50,null,0,4,0
2021/10/29 11:40:13.884,21620,(GET) Registration Page,200,OK,Thread Group 50 1-17,text,true,,3255526,174089,50,50,http://52.230.41.69/daftar/pemrograman,1093,0,34
2021/10/29 11:40:35.508,8864,(POST) INSERT New User,200,OK,Thread Group 50 1-17,text,true,,190129,198759,50,50,http://52.230.41.69/login,3599,0,36
2021/10/29 11:40:14.327,30302,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-36,,true,,3564988,373463,50,50,null,0,6,0
2021/10/29 11:40:14.329,21465,(GET) Registration Page,200,OK,Thread Group 50 1-36,text,true,,3374854,174673,50,50,http://52.230.41.69/daftar/pemrograman,1843,0,34
2021/10/29 11:40:35.798,8837,(POST) INSERT New User,200,OK,Thread Group 50 1-36,text,true,,190134,198790,50,50,http://52.230.41.69/login,3667,0,34
2021/10/29 11:40:13.800,30875,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-13,,true,,3445653,372724,50,50,null,0,5,0
2021/10/29 11:40:13.801,21990,(GET) Registration Page,200,OK,Thread Group 50 1-13,text,true,,3255536,173827,50,50,http://52.230.41.69/daftar/pemrograman,996,0,34
2021/10/29 11:40:35.795,8885,(POST) INSERT New User,200,OK,Thread Group 50 1-13,text,true,,190117,198897,50,50,http://52.230.41.69/login,3684,0,36
2021/10/29 11:40:14.076,30720,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-25,,true,,3445650,372700,50,50,null,0,4,0
2021/10/29 11:40:14.077,21788,(GET) Registration Page,200,OK,Thread Group 50 1-25,text,true,,3255508,173721,50,50,http://52.230.41.69/daftar/pemrograman,1403,0,35
2021/10/29 11:40:35.868,8932,(POST) INSERT New User,200,OK,Thread Group 50 1-25,text,true,,190142,198979,50,50,http://52.230.41.69/login,3688,0,37
2021/10/29 11:40:13.979,31121,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-21,,true,,3445661,372729,50,50,null,0,2,0
2021/10/29 11:40:13.979,22034,(GET) Registration Page,200,OK,Thread Group 50 1-21,text,true,,3255523,173725,50,50,http://52.230.41.69/daftar/pemrograman,1269,0,34
2021/10/29 11:40:36.016,9087,(POST) INSERT New User,200,OK,Thread Group 50 1-21,text,true,,190138,199004,50,50,http://52.230.41.69/login,3871,0,36
2021/10/29 11:40:13.756,31390,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-10,,true,,3445681,372883,50,50,null,0,5,0
2021/10/29 11:40:13.757,22297,(GET) Registration Page,200,OK,Thread Group 50 1-10,text,true,,3255539,173933,50,50,http://52.230.41.69/daftar/pemrograman,876,0,36
2021/10/29 11:40:36.058,9093,(POST) INSERT New User,200,OK,Thread Group 50 1-10,text,true,,190142,198950,50,50,http://52.230.41.69/login,3891,0,35
2021/10/29 11:40:14.275,30973,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-34,,true,,3445660,372747,50,50,null,0,3,0
2021/10/29 11:40:14.276,21794,(GET) Registration Page,200,OK,Thread Group 50 1-34,text,true,,3255521,173669,50,50,http://52.230.41.69/daftar/pemrograman,1683,0,35
2021/10/29 11:40:36.073,9179,(POST) INSERT New User,200,OK,Thread Group 50 1-34,text,true,,190139,199078,50,50,http://52.230.41.69/login,3956,0,35
2021/10/29 11:40:14.493,30900,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-43,,true,,3445674,372594,50,50,null,0,4,0
2021/10/29 11:40:14.494,21785,(GET) Registration Page,200,OK,Thread Group 50 1-43,text,true,,3255540,173777,50,50,http://52.230.41.69/daftar/pemrograman,2065,0,45
2021/10/29 11:40:36.282,9115,(POST) INSERT New User,200,OK,Thread Group 50 1-43,text,true,,190134,198817,50,50,http://52.230.41.69/login,3875,0,35
2021/10/29 11:40:14.089,31373,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-26,,true,,3445657,372610,50,50,null,0,3,0
2021/10/29 11:40:14.090,22046,(GET) Registration Page,200,OK,Thread Group 50 1-26,text,true,,3255521,173821,50,50,http://52.230.41.69/daftar/pemrograman,1384,0,34
2021/10/29 11:40:36.139,9327,(POST) INSERT New User,200,OK,Thread Group 50 1-26,text,true,,190136,198789,50,50,http://52.230.41.69/login,3970,0,38
2021/10/29 11:40:13.957,31658,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-20,,true,,3445674,373562,50,50,null,0,3,0
2021/10/29 11:40:13.958,22374,(GET) Registration Page,200,OK,Thread Group 50 1-20,text,true,,3255540,174559,50,50,http://52.230.41.69/daftar/pemrograman,1150,0,41
2021/10/29 11:40:36.334,9284,(POST) INSERT New User,200,OK,Thread Group 50 1-20,text,true,,190134,199003,50,50,http://52.230.41.69/login,4004,0,36
2021/10/29 11:40:14.393,31230,INSERT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-39,,true,,3445660,372529,50,50,null,0,4,0
2021/10/29 11:40:14.394,22153,(GET) Registration Page,200,OK,Thread Group 50 1-39,text,true,,3255525,173513,50,50,http://52.230.41.69/daftar/pemrograman,1857,0,34
