timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/03/24 19:35:19.451,30458,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-1,,true,,109027523,1347376,50,50,null,0,96,0
2021/03/24 19:35:19.524,7832,(POST) Admin Login,200,OK,Thread Group 50 1-1,text,true,,107235950,648606,50,50,http://13.76.218.209/admin,544,0,24
2021/03/24 19:35:27.375,22626,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-1,text,true,,1791573,698770,50,50,http://13.76.218.209/admin,6783,0,0
2021/03/24 19:35:19.538,33841,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-5,,true,,109027552,1340966,50,50,null,0,94,0
2021/03/24 19:35:19.539,9283,(POST) Admin Login,200,OK,Thread Group 50 1-5,text,true,,107235923,642206,50,50,http://13.76.218.209/admin,670,0,9
2021/03/24 19:35:28.825,24558,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-5,text,true,,1791629,698760,50,50,http://13.76.218.209/admin,6164,0,0
2021/03/24 19:35:19.514,35072,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-4,,true,,109027643,1333282,50,50,null,0,18,0
2021/03/24 19:35:19.524,9661,(POST) Admin Login,200,OK,Thread Group 50 1-4,text,true,,107236022,639646,50,50,http://13.76.218.209/admin,701,0,24
2021/03/24 19:35:29.189,25411,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-4,text,true,,1791621,693636,50,50,http://13.76.218.209/admin,6342,0,0
2021/03/24 19:35:19.479,40228,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-2,,true,,109028467,1339686,50,50,null,0,50,0
2021/03/24 19:35:19.524,21639,(POST) Admin Login,200,OK,Thread Group 50 1-2,text,true,,107236816,642206,50,50,http://13.76.218.209/admin,1209,0,25
2021/03/24 19:35:41.165,18589,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-2,text,true,,1791651,697480,50,50,http://13.76.218.209/admin,492,0,154
2021/03/24 19:35:19.500,53723,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-3,,true,,109027561,1340968,50,50,null,0,29,0
2021/03/24 19:35:19.524,38564,(POST) Admin Login,200,OK,Thread Group 50 1-3,text,true,,107235916,647320,50,50,http://13.76.218.209/admin,1387,0,28
2021/03/24 19:35:58.090,15159,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-3,text,true,,1791645,693648,50,50,http://13.76.218.209/admin,463,0,165
2021/03/24 19:35:19.553,54315,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-6,,true,,109027572,1342252,50,50,null,0,3,0
2021/03/24 19:35:19.553,38147,(POST) Admin Login,200,OK,Thread Group 50 1-6,text,true,,107235921,644768,50,50,http://13.76.218.209/admin,1352,0,2
2021/03/24 19:35:57.701,16168,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-6,text,true,,1791651,697484,50,50,http://13.76.218.209/admin,399,0,122
2021/03/24 19:35:19.579,54817,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-7,,true,,109027643,1334564,50,50,null,0,13,0
2021/03/24 19:35:19.580,40975,(POST) Admin Login,200,OK,Thread Group 50 1-7,text,true,,107235992,642204,50,50,http://13.76.218.209/admin,1611,0,7
2021/03/24 19:36:00.556,13842,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-7,text,true,,1791651,692360,50,50,http://13.76.218.209/admin,418,0,117
2021/03/24 19:35:19.630,55805,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-10,,true,,109027577,1344808,50,50,null,0,4,0
2021/03/24 19:35:19.631,43842,(POST) Admin Login,200,OK,Thread Group 50 1-10,text,true,,107235916,646042,50,50,http://13.76.218.209/admin,2104,0,1
2021/03/24 19:36:03.474,11963,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-10,text,true,,1791661,698766,50,50,http://13.76.218.209/admin,373,0,79
2021/03/24 19:35:19.751,56195,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-16,,true,,109027572,1335848,50,50,null,0,4,0
2021/03/24 19:35:19.751,45796,(POST) Admin Login,200,OK,Thread Group 50 1-16,text,true,,107235925,640930,50,50,http://13.76.218.209/admin,3319,0,2
2021/03/24 19:36:05.548,10399,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-16,text,true,,1791647,694918,50,50,http://13.76.218.209/admin,411,0,113
2021/03/24 19:35:19.770,56291,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-17,,true,,109027574,1343522,50,50,null,0,5,0
2021/03/24 19:35:19.771,50539,(POST) Admin Login,200,OK,Thread Group 50 1-17,text,true,,107235911,643480,50,50,http://13.76.218.209/admin,3658,0,2
2021/03/24 19:36:10.312,5752,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-17,text,true,,1791663,700042,50,50,http://13.76.218.209/admin,173,0,4
2021/03/24 19:35:19.591,56484,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-8,,true,,109027545,1335840,50,50,null,0,5,0
2021/03/24 19:35:19.592,48168,(POST) Admin Login,200,OK,Thread Group 50 1-8,text,true,,107235900,642200,50,50,http://13.76.218.209/admin,1893,0,1
2021/03/24 19:36:07.762,8316,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-8,text,true,,1791645,693640,50,50,http://13.76.218.209/admin,366,0,97
2021/03/24 19:35:19.650,56498,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-11,,true,,109027559,1342246,50,50,null,0,5,0
2021/03/24 19:35:19.651,47459,(POST) Admin Login,200,OK,Thread Group 50 1-11,text,true,,107235906,643484,50,50,http://13.76.218.209/admin,2422,0,3
2021/03/24 19:36:07.112,9039,(GET) SELECT Admin Dashboard,200,OK,Thread Group 50 1-11,text,true,,1791653,698762,50,50,http://13.76.218.209/admin,405,0,144
2021/03/24 19:35:19.678,56472,SELECT Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 50 1-12,,true,,109027567,1344810,50,50,null,0,4,0
