timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/03/24 19:50:11.057,14541,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-25,,true,,3038761,240116,50,50,null,0,214,0
2021/03/24 19:50:11.058,2957,Request Login Page,200,OK,Thread Group 50 1-25,text,true,,1985750,21156,50,50,http://13.76.218.209/login,678,0,1
2021/03/24 19:50:14.216,4248,(POST) User Login,200,OK,Thread Group 50 1-25,text,true,,818669,23218,50,50,http://13.76.218.209/dashboard,310,0,2
2021/03/24 19:50:18.474,2574,(GET) User edit form,200,OK,Thread Group 50 1-25,text,true,,522,817,50,50,http://13.76.218.209/participant/36,2574,0,0
2021/03/24 19:50:21.049,4762,(POST) UPDATE User Data,200,OK,Thread Group 50 1-25,text,true,,233820,194925,50,50,http://13.76.218.209/dashboard,2027,0,9
2021/03/24 19:50:10.703,15091,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-6,,true,,3038742,240052,50,50,null,0,63,0
2021/03/24 19:50:10.704,3453,Request Login Page,200,OK,Thread Group 50 1-6,text,true,,1985752,21204,50,50,http://13.76.218.209/login,298,0,1
2021/03/24 19:50:14.217,4556,(POST) User Login,200,OK,Thread Group 50 1-6,text,true,,818653,23060,50,50,http://13.76.218.209/dashboard,361,0,4
2021/03/24 19:50:18.774,2381,(GET) User edit form,200,OK,Thread Group 50 1-6,text,true,,522,811,50,50,http://13.76.218.209/participant/20,2381,0,0
2021/03/24 19:50:21.155,4701,(POST) UPDATE User Data,200,OK,Thread Group 50 1-6,text,true,,233815,194977,50,50,http://13.76.218.209/dashboard,1952,0,2
2021/03/24 19:50:10.799,15145,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-12,,true,,3038749,240037,50,50,null,0,8,0
2021/03/24 19:50:10.800,3424,Request Login Page,200,OK,Thread Group 50 1-12,text,true,,1985746,21060,50,50,http://13.76.218.209/login,415,0,2
2021/03/24 19:50:14.226,4593,(POST) User Login,200,OK,Thread Group 50 1-12,text,true,,818665,23354,50,50,http://13.76.218.209/dashboard,361,0,5
2021/03/24 19:50:18.822,2446,(GET) User edit form,200,OK,Thread Group 50 1-12,text,true,,522,823,50,50,http://13.76.218.209/participant/25,2446,0,0
2021/03/24 19:50:21.269,4682,(POST) UPDATE User Data,200,OK,Thread Group 50 1-12,text,true,,233816,194800,50,50,http://13.76.218.209/dashboard,1959,0,2
2021/03/24 19:50:11.039,14834,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-23,,true,,3038728,240038,50,50,null,0,204,0
2021/03/24 19:50:11.040,2978,Request Login Page,200,OK,Thread Group 50 1-23,text,true,,1985738,21204,50,50,http://13.76.218.209/login,602,0,1
2021/03/24 19:50:14.218,4471,(POST) User Login,200,OK,Thread Group 50 1-23,text,true,,818659,23114,50,50,http://13.76.218.209/dashboard,354,0,4
2021/03/24 19:50:18.690,2510,(GET) User edit form,200,OK,Thread Group 50 1-23,text,true,,522,813,50,50,http://13.76.218.209/participant/37,2510,0,0
2021/03/24 19:50:21.201,4875,(POST) UPDATE User Data,200,OK,Thread Group 50 1-23,text,true,,233809,194907,50,50,http://13.76.218.209/dashboard,2088,0,2
2021/03/24 19:50:10.793,14897,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-11,,true,,3038762,240251,50,50,null,0,446,0
2021/03/24 19:50:10.794,2986,Request Login Page,200,OK,Thread Group 50 1-11,text,true,,1985747,21252,50,50,http://13.76.218.209/login,425,0,2
2021/03/24 19:50:14.220,4661,(POST) User Login,200,OK,Thread Group 50 1-11,text,true,,818655,23112,50,50,http://13.76.218.209/dashboard,729,0,26
2021/03/24 19:50:18.884,2462,(GET) User edit form,200,OK,Thread Group 50 1-11,text,true,,522,813,50,50,http://13.76.218.209/participant/24,2462,0,0
2021/03/24 19:50:21.347,4788,(POST) UPDATE User Data,200,OK,Thread Group 50 1-11,text,true,,233838,195074,50,50,http://13.76.218.209/dashboard,2076,0,2
2021/03/24 19:50:11.007,15060,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-21,,true,,3038710,240110,50,50,null,0,170,0
2021/03/24 19:50:11.009,3062,Request Login Page,200,OK,Thread Group 50 1-21,text,true,,1985743,21156,50,50,http://13.76.218.209/login,547,0,6
