timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/10/29 12:20:12.628,16486,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-28,,true,,3076437,240029,50,50,null,0,17,0
2021/10/29 12:20:12.629,4165,Request Login Page,200,OK,Thread Group 50 1-28,text,true,,2015674,21131,50,50,http://52.230.41.69/login,890,0,39
2021/10/29 12:20:16.796,2814,(POST) User Login,200,OK,Thread Group 50 1-28,text,true,,822536,23141,50,50,http://52.230.41.69/dashboard,814,0,35
2021/10/29 12:20:19.622,3480,(GET) User edit form,200,OK,Thread Group 50 1-28,text,true,,548,814,50,50,http://52.230.41.69/participant/39,3480,0,0
2021/10/29 12:20:23.103,6027,(POST) UPDATE User Data,200,OK,Thread Group 50 1-28,text,true,,237679,194943,50,50,http://52.230.41.69/dashboard,3238,0,49
2021/10/29 12:20:12.027,16772,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-1,,true,,3076449,240032,50,50,null,0,411,0
2021/10/29 12:20:12.136,4296,Request Login Page,200,OK,Thread Group 50 1-1,text,true,,2015683,21179,50,50,http://52.230.41.69/login,444,0,84
2021/10/29 12:20:16.680,2894,(POST) User Login,200,OK,Thread Group 50 1-1,text,true,,822547,23299,50,50,http://52.230.41.69/dashboard,808,0,112
2021/10/29 12:20:19.626,3611,(GET) User edit form,200,OK,Thread Group 50 1-1,text,true,,547,820,50,50,http://52.230.41.69/participant/12,3611,0,0
2021/10/29 12:20:23.238,5971,(POST) UPDATE User Data,200,OK,Thread Group 50 1-1,text,true,,237672,194734,50,50,http://52.230.41.69/dashboard,3284,0,37
2021/10/29 12:20:12.279,16970,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-13,,true,,3076437,240120,50,50,null,0,386,0
2021/10/29 12:20:12.279,4027,Request Login Page,200,OK,Thread Group 50 1-13,text,true,,2015691,21275,50,50,http://52.230.41.69/login,618,0,36
2021/10/29 12:20:16.689,2955,(POST) User Login,200,OK,Thread Group 50 1-13,text,true,,822529,23155,50,50,http://52.230.41.69/dashboard,615,0,55
2021/10/29 12:20:19.646,3655,(GET) User edit form,200,OK,Thread Group 50 1-13,text,true,,548,814,50,50,http://52.230.41.69/participant/24,3655,0,0
2021/10/29 12:20:23.302,6333,(POST) UPDATE User Data,200,OK,Thread Group 50 1-13,text,true,,237669,194876,50,50,http://52.230.41.69/dashboard,3254,0,35
2021/10/29 12:20:12.085,17266,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-4,,true,,3076437,239908,50,50,null,0,357,0
2021/10/29 12:20:12.136,4257,Request Login Page,200,OK,Thread Group 50 1-4,text,true,,2015680,21083,50,50,http://52.230.41.69/login,548,0,84
2021/10/29 12:20:16.695,2961,(POST) User Login,200,OK,Thread Group 50 1-4,text,true,,822532,23087,50,50,http://52.230.41.69/dashboard,545,0,37
2021/10/29 12:20:19.658,3726,(GET) User edit form,200,OK,Thread Group 50 1-4,text,true,,548,812,50,50,http://52.230.41.69/participant/15,3726,0,0
2021/10/29 12:20:23.385,6322,(POST) UPDATE User Data,200,OK,Thread Group 50 1-4,text,true,,237677,194926,50,50,http://52.230.41.69/dashboard,3234,0,36
2021/10/29 12:20:12.352,17446,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-16,,true,,3076447,240036,50,50,null,0,231,0
2021/10/29 12:20:12.353,4114,Request Login Page,200,OK,Thread Group 50 1-16,text,true,,2015682,21131,50,50,http://52.230.41.69/login,716,0,35
