timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2021/10/30 04:30:10.347,7794,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-20,,true,,3078018,239903,50,50,null,0,421,0
2021/10/30 04:30:10.347,3028,Request Login Page,200,OK,Thread Group 50 1-20,text,true,,2015998,21060,50,50,http://52.230.85.117/login,75,0,35
2021/10/30 04:30:13.793,1292,(POST) User Login,200,OK,Thread Group 50 1-20,text,true,,822763,23100,50,50,http://52.230.85.117/dashboard,416,0,71
2021/10/30 04:30:15.087,1740,(GET) User edit form,200,OK,Thread Group 50 1-20,text,true,,1286,813,50,50,http://52.230.85.117/participant/31,1740,0,0
2021/10/30 04:30:16.827,1734,(POST) UPDATE User Data,200,OK,Thread Group 50 1-20,text,true,,237971,194930,50,50,http://52.230.85.117/dashboard,914,0,37
2021/10/30 04:30:10.660,7862,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-33,,true,,3078064,239916,50,50,null,0,51,0
2021/10/30 04:30:10.662,3087,Request Login Page,200,OK,Thread Group 50 1-33,text,true,,2016009,21060,50,50,http://52.230.85.117/login,139,0,34
2021/10/30 04:30:13.796,1285,(POST) User Login,200,OK,Thread Group 50 1-33,text,true,,822802,23108,50,50,http://52.230.85.117/dashboard,443,0,68
2021/10/30 04:30:15.082,1682,(GET) User edit form,200,OK,Thread Group 50 1-33,text,true,,1280,813,50,50,http://52.230.85.117/participant/44,1682,0,0
2021/10/30 04:30:16.765,1808,(POST) UPDATE User Data,200,OK,Thread Group 50 1-33,text,true,,237973,194935,50,50,http://52.230.85.117/dashboard,979,0,69
2021/10/30 04:30:10.224,8428,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-15,,true,,3078020,240108,50,50,null,0,5,0
2021/10/30 04:30:10.224,3614,Request Login Page,200,OK,Thread Group 50 1-15,text,true,,2016002,21156,50,50,http://52.230.85.117/login,73,0,34
2021/10/30 04:30:13.840,1454,(POST) User Login,200,OK,Thread Group 50 1-15,text,true,,822802,23256,50,50,http://52.230.85.117/dashboard,540,0,36
2021/10/30 04:30:15.295,1612,(GET) User edit form,200,OK,Thread Group 50 1-15,text,true,,1284,819,50,50,http://52.230.85.117/participant/26,1612,0,0
2021/10/30 04:30:16.908,1748,(POST) UPDATE User Data,200,OK,Thread Group 50 1-15,text,true,,237932,194877,50,50,http://52.230.85.117/dashboard,937,0,0
2021/10/30 04:30:10.616,7692,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-31,,true,,3078067,240335,50,50,null,0,383,0
2021/10/30 04:30:10.617,2801,Request Login Page,200,OK,Thread Group 50 1-31,text,true,,2016000,21108,50,50,http://52.230.85.117/login,76,0,34
2021/10/30 04:30:13.797,1310,(POST) User Login,200,OK,Thread Group 50 1-31,text,true,,822814,23410,50,50,http://52.230.85.117/dashboard,443,0,66
2021/10/30 04:30:15.108,1711,(GET) User edit form,200,OK,Thread Group 50 1-31,text,true,,1280,825,50,50,http://52.230.85.117/participant/42,1711,0,0
2021/10/30 04:30:16.820,1870,(POST) UPDATE User Data,200,OK,Thread Group 50 1-31,text,true,,237973,194992,50,50,http://52.230.85.117/dashboard,980,0,39
2021/10/30 04:30:10.854,7990,UPDATE Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 50 1-42,,true,,3078038,240270,50,50,null,0,5,0
2021/10/30 04:30:10.854,2996,Request Login Page,200,OK,Thread Group 50 1-42,text,true,,2016014,21252,50,50,http://52.230.85.117/login,104,0,35
2021/10/30 04:30:13.852,1648,(POST) User Login,200,OK,Thread Group 50 1-42,text,true,,822804,23358,50,50,http://52.230.85.117/dashboard,558,0,35
2021/10/30 04:30:15.501,1441,(GET) User edit form,200,OK,Thread Group 50 1-42,text,true,,1284,823,50,50,http://52.230.85.117/participant/53,1441,0,0
2021/10/30 04:30:16.944,1905,(POST) UPDATE User Data,200,OK,Thread Group 50 1-42,text,true,,237936,194837,50,50,http://52.230.85.117/dashboard,1084,0,0
